file,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,total_words,total_sentences,total_characters,passive_voice,active_voice,passive_toks,active_toks,verbs,nouns,adjectives,adverbs,prepositions,auxiliaries,coord_conjunctions,determiners,interjections,numbers,particles,pronouns,proper_nouns,punctuations,subordinating_conjunctions,symbols,other,money,persons,norp,facilities,organizations,gpe,products,works,dates,times,quantities,ordinals,cardinals,percentages,stopwords,locations,laws,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,syllables,wordtypes,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,nominalization,label,label
18.txt,0.15378799603895857,0.14655915034941383,0.42426082046430597,0.8357736866126494,0.14676915361796597,0.14513614356293847,0.16831819585149485,0.07063197026022305,0.13812668866572386,0.024885526577742387,0.026785714285714284,0.018000356442701836,0.017857142857142856,0.039285714285714285,0.0035714285714285713,0.03571428571428571,0.10714285714285714,0.2357142857142857,0.07142857142857142,0.017857142857142856,0.21071428571428572,0.02142857142857143,0.03571428571428571,0.04285714285714286,0.0,0.11428571428571428,0.03571428571428571,0.014285714285714285,0.04285714285714286,0.07857142857142857,0.025,0.02142857142857143,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.10714285714285714,0.0,0.4642857142857143,0.0,0.0,0.4100993162580092,0.45252838843858106,0.15227472114300036,0.0,0.4315795904452761,0.0298932384341637,0.05272727272727273,0.15,0.07857142857142857,0.3,0.017857142857142856,0.0035714285714285713,0.03571428571428571,0.0,1,1
19.txt,0.2961774165974034,0.2919183929728781,0.4346267455958458,0.6976529628380439,0.2886870222425241,0.2851020706129333,0.22871444866032106,0.11524163568773234,0.23594798728320104,0.0218992633884133,0.06696428571428571,0.015077526287649261,0.018867924528301886,0.1018867924528302,0.007547169811320755,0.1169811320754717,0.14339622641509434,0.21132075471698114,0.06415094339622641,0.033962264150943396,0.07169811320754717,0.12452830188679245,0.04905660377358491,0.1018867924528302,0.0037735849056603774,0.026415094339622643,0.06792452830188679,0.06792452830188679,0.018867924528301886,0.08679245283018867,0.01509433962264151,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.06415094339622641,0.007547169811320755,0.0,0.0,0.0,0.0,0.5886792452830188,0.0,0.0,0.4160000242410131,0.417055398549491,0.29634039353302416,0.0,0.5973789931234498,0.024341637010676157,0.09090909090909091,0.12452830188679245,0.06415094339622641,0.2188679245283019,0.04905660377358491,0.07169811320754717,0.04905660377358491,0.0,1,1
2.txt,1.0886431744090377,1.0858789710684043,0.417906277885615,-0.09298679530260869,1.0740341731673022,1.0702736285295522,0.4387843928881403,0.483271375464684,0.9277305029038931,0.15628110690822217,0.2857142857142857,0.1375512386383889,0.018085106382978722,0.05319148936170213,0.005319148936170213,0.09680851063829787,0.13191489361702127,0.2276595744680851,0.043617021276595745,0.029787234042553193,0.09680851063829787,0.07659574468085106,0.06170212765957447,0.10212765957446808,0.0,0.03723404255319149,0.039361702127659576,0.09148936170212765,0.009574468085106383,0.09468085106382979,0.02127659574468085,0.002127659574468085,0.027659574468085105,0.0,0.0,0.0,0.0,0.005319148936170213,0.0,0.0,0.0,0.05319148936170213,0.0,0.0,0.0,0.04148936170212766,0.002127659574468085,0.5691489361702128,0.0031914893617021275,0.0,0.396789258188001,0.3950039921604748,1.0857250281990225,0.0,0.3482885378962861,0.13608540925266904,0.39454545454545453,0.14042553191489363,0.05106382978723404,0.24680851063829787,0.043617021276595745,0.030851063829787233,0.06170212765957447,0.02127659574468085,1,1
20.txt,0.08943860413620026,0.08495995630415684,0.5372377645387211,0.8954228286060286,0.0857870864347387,0.08820995717042965,0.15970130887623693,0.062267657992565055,0.09327008767617427,0.0346406529962174,0.08482142857142858,0.03300659418998396,0.04559270516717325,0.060790273556231005,0.0182370820668693,0.10030395136778116,0.1398176291793313,0.21580547112462006,0.06990881458966565,0.030395136778115502,0.10030395136778116,0.0911854103343465,0.030395136778115502,0.12462006079027356,0.0,0.0182370820668693,0.030395136778115502,0.0729483282674772,0.0547112462006079,0.0972644376899696,0.0121580547112462,0.0,0.0,0.0,0.0,0.0,0.0,0.0182370820668693,0.0,0.0060790273556231,0.0,0.0060790273556231,0.0,0.0,0.0,0.02735562310030395,0.0,0.5227963525835866,0.00303951367781155,0.0,0.52380292374688,0.49071862183521275,0.08559969921042736,0.0,0.6517177562520174,0.042704626334519574,0.16727272727272727,0.22796352583586627,0.12462006079027356,0.3404255319148936,0.0486322188449848,0.02127659574468085,0.030395136778115502,0.0060790273556231,1,1
21.txt,0.23962673163031903,0.23507281317637435,0.42291985342118255,0.7547297171540989,0.2363278126074568,0.2306968978780587,0.254852855290211,0.10037174721189591,0.2008490803618173,0.011148715906828588,0.04017857142857143,0.005916948850472286,0.018957345971563982,0.07582938388625593,0.004739336492890996,0.07582938388625593,0.10900473933649289,0.22748815165876776,0.07109004739336493,0.014218009478672985,0.12322274881516587,0.09004739336492891,0.052132701421800945,0.0995260663507109,0.0,0.09004739336492891,0.037914691943127965,0.037914691943127965,0.02843601895734597,0.09004739336492891,0.018957345971563982,0.0,0.0,0.0,0.0,0.0,0.0,0.009478672985781991,0.0,0.0,0.0,0.037914691943127965,0.0,0.0,0.0,0.07109004739336493,0.0,0.5545023696682464,0.0,0.0,0.4058344001183823,0.41338034183597266,0.24038100012532898,0.0,0.7412171825525867,0.015800711743772244,0.08545454545454545,0.13744075829383887,0.0947867298578199,0.26540284360189575,0.04739336492890995,0.052132701421800945,0.052132701421800945,0.009478672985781991,1,1
22.txt,0.03414850004730989,0.031593684568383816,0.4375159206931118,0.9611212551185188,0.03337396435154533,0.033300276198395665,0.06735911138736007,0.019052044609665426,0.014768690640036629,0.03424248457097352,0.06696428571428571,0.028016396364284442,0.04281345565749235,0.0764525993883792,0.021406727828746176,0.07339449541284404,0.12538226299694188,0.2018348623853211,0.07339449541284404,0.024464831804281346,0.1162079510703364,0.12232415902140673,0.027522935779816515,0.13761467889908258,0.0,0.01834862385321101,0.027522935779816515,0.06422018348623854,0.021406727828746176,0.09785932721712538,0.01529051987767584,0.0,0.0030581039755351682,0.0,0.0030581039755351682,0.0,0.0,0.0,0.0,0.0061162079510703364,0.0,0.024464831804281346,0.0,0.0,0.012232415902140673,0.009174311926605505,0.0,0.581039755351682,0.0,0.0,0.4435736491614232,0.40800882008330314,0.03648640180473743,0.0,0.4964416378525723,0.03416370106761566,0.10545454545454545,0.1743119266055046,0.09480122324159021,0.22935779816513763,0.07033639143730887,0.039755351681957186,0.027522935779816515,0.03669724770642202,1,1
23.txt,0.08027634857496195,0.07273936505437227,0.57269153408143,0.8961450669315125,0.07432358615574705,0.07632950123329983,0.15872468309623253,0.05638166047087981,0.07904429977528699,0.053155484770057736,0.08482142857142858,0.054393156300124756,0.05924170616113744,0.061611374407582936,0.026066350710900472,0.07582938388625593,0.14691943127962084,0.22985781990521326,0.08056872037914692,0.04028436018957346,0.0971563981042654,0.0947867298578199,0.045023696682464455,0.08530805687203792,0.0,0.0,0.035545023696682464,0.04028436018957346,0.06398104265402843,0.10426540284360189,0.02843601895734597,0.0,0.0,0.0,0.002369668246445498,0.002369668246445498,0.004739336492890996,0.026066350710900472,0.023696682464454975,0.004739336492890996,0.0,0.004739336492890996,0.0,0.0,0.002369668246445498,0.0,0.0,0.504739336492891,0.0,0.0,0.560060514138887,0.5582948900717839,0.07170906964114132,0.0,0.5395247100159569,0.06875444839857651,0.19818181818181818,0.24407582938388625,0.14454976303317535,0.3341232227488152,0.06872037914691943,0.011848341232227487,0.045023696682464455,0.0071090047393364926,1,1
24.txt,0.22627841672674914,0.22220644922971292,0.35228074996288017,0.7747120926003387,0.2204533467377339,0.21703440602934923,0.13612555829702702,0.06939281288723669,0.18419320795274954,0.09356957993231137,0.27232142857142855,0.0750668330065942,0.0304,0.0656,0.0032,0.1056,0.1312,0.1888,0.0688,0.0272,0.0832,0.0928,0.0384,0.088,0.0,0.0448,0.0384,0.1216,0.0048,0.1168,0.0176,0.0,0.0512,0.0,0.0,0.0,0.0,0.0032,0.0016,0.0,0.0,0.0752,0.0,0.008,0.0016,0.0928,0.0,0.5872,0.0,0.0,0.33863815758883514,0.36045692706909543,0.23085599699210427,0.022222222222222223,0.4204236909715022,0.07686832740213523,0.2672727272727273,0.0992,0.04,0.2336,0.0304,0.04,0.0384,0.0128,1,1
25.txt,0.27980285545065203,0.2744823029040399,0.4461166935793053,0.7112533219174406,0.27820348742191436,0.27268810047525893,0.3369029765213505,0.14869888475836432,0.2371925473533694,0.01751941071073064,0.05357142857142857,0.012831937266084477,0.04526748971193416,0.053497942386831275,0.0205761316872428,0.06995884773662552,0.11522633744855967,0.21810699588477367,0.06172839506172839,0.02880658436213992,0.14814814814814814,0.07818930041152264,0.04526748971193416,0.08641975308641975,0.0,0.04526748971193416,0.0205761316872428,0.07407407407407407,0.06995884773662552,0.102880658436214,0.00823045267489712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.03292181069958848,0.0,0.00823045267489712,0.0,0.0205761316872428,0.01646090534979424,0.5637860082304527,0.0,0.00823045267489712,0.427244393947226,0.43939308894400386,0.27848101265822783,0.0,0.636960492160259,0.023202846975088967,0.0890909090909091,0.1728395061728395,0.12757201646090535,0.2757201646090535,0.0411522633744856,0.024691358024691357,0.04526748971193416,0.012345679012345678,1,1
26.txt,0.013439270679658217,0.007266393591641177,0.3345932668027264,0.9820302314372386,0.011030230453888035,0.007951290918889126,0.021340374133085444,0.004027261462205699,-0.0033163409399238498,0.08341628508859247,0.19642857142857142,0.06530030297629656,0.027874564459930314,0.06968641114982578,0.013937282229965157,0.09059233449477352,0.10801393728222997,0.18466898954703834,0.04878048780487805,0.012195121951219513,0.09233449477351917,0.10801393728222997,0.04355400696864112,0.0975609756097561,0.0,0.0156794425087108,0.04006968641114982,0.12195121951219512,0.020905923344947737,0.10975609756097561,0.027874564459930314,0.0,0.03832752613240418,0.0,0.006968641114982578,0.0,0.0,0.0,0.0,0.0,0.0,0.041811846689895474,0.0,0.0,0.0,0.04878048780487805,0.0,0.6097560975609756,0.0,0.0,0.3677452486729927,0.40660624017642555,0.015997723190040523,0.018518518518518517,0.4420518581054636,0.07288256227758007,0.23636363636363636,0.1289198606271777,0.07665505226480836,0.22125435540069685,0.050522648083623695,0.050522648083623695,0.041811846689895474,0.008710801393728223,1,1
